genre,movie_count,mae_usd,mean_signed_error_usd
Action,178,80979106.20177951,-45205519.41271439
Adventure,122,127281070.3583577,-77401293.45447198
Animation,76,112130998.70226441,-91274183.80795133
Comedy,188,71542781.68022747,-54480897.83150911
Crime,83,52915449.33601724,-26924708.63973701
Documentary,8,2108969.5680391896,-1929055.7639988658
Drama,257,35957238.16010945,-26336111.50218036
Family,65,125599067.50992984,-102413956.21195203
Fantasy,84,97282701.41765617,-64614500.13906564
History,47,47403827.93757996,-42259981.39450504
Horror,122,30111575.06113193,-26880061.78746641
Music,24,50350318.13338431,-35522250.78880244
Mystery,57,42131200.62702538,-28207513.706940573
Romance,66,46187676.538183734,-36061432.02734653
Science Fiction,83,113971489.16429381,-71865711.48475163
TV Movie,1,1578573.488156634,1578573.488156634
Thriller,159,35181218.62919883,-21477258.26925702
Unknown,2,55.08314436712102,55.08314436712102
War,16,27847056.21056267,-21513083.96342415
Western,3,8173194.271230911,8173194.271230909
