split,train_end_year,validation_years,test_start_year,period,model,train_rows,validation_rows,test_rows,MAE_usd,RMSE_usd,R2
early,2015,2016-2017,2018,validation,full_model,1613,515,1479,59458394.2537,130209065.3581,0.6547
early,2015,2016-2017,2018,test,full_model,1613,515,1479,58532575.7903,145845389.0198,0.5953
early,2015,2016-2017,2018,validation,reduced_model,1613,515,1479,59779790.1111,130623143.2499,0.6525
early,2015,2016-2017,2018,test,reduced_model,1613,515,1479,57069617.3527,144758897.4276,0.6013
middle,2017,2018-2019,2020,validation,full_model,2128,488,991,66421867.0611,164600182.6004,0.6445
middle,2017,2018-2019,2020,test,full_model,2128,488,991,53667303.6797,134865278.4702,0.5487
middle,2017,2018-2019,2020,validation,reduced_model,2128,488,991,65865560.1716,166235193.6346,0.6374
middle,2017,2018-2019,2020,test,reduced_model,2128,488,991,52314696.9978,132791410.1216,0.5624
recent,2019,2020-2021,2022,validation,full_model,2616,373,618,41319157.8222,106402934.3472,0.4824
recent,2019,2020-2021,2022,test,full_model,2616,373,618,60314536.4537,148458935.7272,0.5645
recent,2019,2020-2021,2022,validation,reduced_model,2616,373,618,40000020.7237,102729465.5042,0.5176
recent,2019,2020-2021,2022,test,reduced_model,2616,373,618,58394458.4575,147514984.7034,0.5701
