tmdb_id,title,release_date,runtime_minutes,original_language,budget_usd,worldwide_revenue_usd,popularity,vote_average,vote_count,genres,production_countries,production_companies,production_company_ids,collection_id,collection_name,director,cast_top10,cast_ids_top10,release_year,profitable,release_month,release_season,primary_genre,genre_count,country_count,company_count,is_franchise,is_summer_release,is_holiday_release,cast_size_top10,log_budget_usd,budget_category,roi_simple,director_previous_movie_count,director_previous_avg_revenue,director_previous_success_rate,director_previous_avg_rating,director_previous_max_revenue,franchise_previous_movie_count,franchise_previous_avg_revenue,franchise_previous_success_rate,franchise_previous_avg_rating,franchise_previous_last_revenue,franchise_previous_max_revenue,franchise_previous_median_revenue,franchise_previous_latest_success,is_sequel,cast_previous_movie_count,cast_previous_avg_revenue,cast_previous_max_revenue,cast_previous_success_rate,cast_previous_avg_rating,production_company_previous_movie_count,production_company_previous_avg_revenue,production_company_previous_max_revenue,production_company_previous_success_rate,director_id,director_ids
189,Sin City: A Dame to Kill For,2014-08-20,102.0,en,65000000.0,39407616.0,17.3266,6.402,4257,Action; Crime; Thriller,US,Residaco; Miramax; Troublemaker Studios; Aldamisa Entertainment; Demarest Films; Solipsist Film; AR Films,41658; 14; 10807; 11006; 13241; 29076; 11005,135179.0,Sin City Collection,Frank Miller,Jessica Alba; Bruce Willis; Mickey Rourke; Josh Brolin; Joseph Gordon-Levitt; Eva Green; Rosario Dawson; Powers Boothe; Dennis Haysbert; Ray Liotta,56731; 62; 2295; 16851; 24045; 10912; 5916; 6280; 352; 11477,2014,0.0,8,Summer,Action,3,1,7,1,1,0,10,17.989897843244528,Very high,-0.3937289846153846,0.0,,,,,0.0,,,,,,,,0,12.0,138897799.85857144,1081041287.0,0.6758225108225109,6.22862619047619,5.0,32945553.9,127233108.0,0.4,2293.0,2293; 2294
1771,Captain America: The First Avenger,2011-07-22,124.0,en,140000000.0,370569774.0,19.5874,7.011,23174,Action; Adventure; Science Fiction,US,Marvel Studios; Marvel Entertainment,420; 7505,131295.0,Captain America Collection,Joe Johnston,Chris Evans; Hayley Atwell; Sebastian Stan; Tommy Lee Jones; Hugo Weaving; Dominic Cooper; Richard Armitage; Stanley Tucci; Samuel L. Jackson; Toby Jones,16828; 39459; 60898; 2176; 1331; 55470; 30315; 2283; 2231; 13014,2011,1.0,7,Summer,Action,3,1,2,1,1,0,10,18.75715298771643,Very high,1.646926957142857,1.0,140700000.0,0.0,5.899,140700000.0,0.0,,,,,,,,0,3.0,193595353.6875,1123794079.0,0.5416666666666666,6.555958333333333,3.0,506128999.4166666,623933331.0,1.0,4945.0,4945
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,136.0,en,379000000.0,1046721266.0,27.681,6.573,15204,Adventure; Action; Fantasy,GB; US,Walt Disney Pictures; Jerry Bruckheimer Films; Moving Picture Company,2; 130; 20478,295.0,Pirates of the Caribbean Collection,Rob Marshall,Johnny Depp; Penélope Cruz; Geoffrey Rush; Ian McShane; Kevin McNally; Sam Claflin; Àstrid Bergès-Frisbey; Stephen Graham; Keith Richards; Richard Griffiths,85; 955; 118; 6972; 2449; 237455; 469759; 1115; 1430; 10983,2011,1.0,5,Spring,Adventure,3,2,3,1,0,0,10,19.753046765685223,Very high,1.7617975356200528,0.0,,,,,0.0,,,,,,,,0,3.0,251689967.05555555,1025467110.0,0.7222222222222222,6.4512222222222215,8.0,368388335.75,1025467110.0,0.9583333333333334,17633.0,17633
1930,The Amazing Spider-Man,2012-06-23,136.0,en,215000000.0,758725893.0,42.6013,6.759,19038,Action; Adventure; Science Fiction,US,Marvel Entertainment; Laura Ziskin Productions; Columbia Pictures; Matt Tolmach Productions; Arad Productions,7505; 326; 5; 53462; 14439,125574.0,The Amazing Spider-Man Collection,Marc Webb,Andrew Garfield; Emma Stone; Rhys Ifans; Denis Leary; Martin Sheen; Sally Field; Irrfan Khan; Campbell Scott; Embeth Davidtz; Chris Zylka,37625; 54693; 7026; 5724; 8349; 35; 76793; 55152; 6368; 231547,2012,1.0,6,Summer,Action,3,1,5,1,1,0,10,19.186148590743095,Very high,2.528957641860465,0.0,,,,,0.0,,,,,,,,0,6.0,92366369.35,954305868.0,0.62,6.4277999999999995,28.0,242347714.7761905,654213485.0,0.9523809523809524,87742.0,87742
4258,Scary Movie 5,2013-04-11,86.0,en,20000000.0,78613981.0,8.0553,4.8,3144,Comedy,US,Dimension Films; Brad Grey Pictures,7405; 10958,4246.0,Scary Movie Collection,Malcolm D. Lee,Ashley French; Simon Rex; Gracie Whitton; Ava Kolker; Erica Ash; Heather Locklear; Lidia Porto; Molly Shannon; Lindsay Lohan; Josh Robert Thompson,67600; 35548; 558903; 1508532; 451684; 58691; 180527; 28640; 49265; 1852993,2013,1.0,4,Spring,Comedy,1,1,2,1,0,0,10,16.811242881518265,Mid,2.93069905,0.0,,,,,0.0,,,,,,,,0,3.0,119492924.33333331,358375603.0,1.0,6.152833333333334,5.0,60008109.4,97231420.0,1.0,72024.0,72024
7978,The Wolfman,2010-02-10,103.0,en,150000000.0,140700000.0,8.3986,5.899,2238,Horror,US,Universal Pictures; Relativity Media; Stuber Pictures,33; 7295; 4403,,,Joe Johnston,Benicio del Toro; Anthony Hopkins; Emily Blunt; Hugo Weaving; Geraldine Chaplin; Art Malik; Antony Sher; David Schofield; Cristina Contes; David Sterne,1121; 4173; 5081; 1331; 400; 10672; 77637; 939; 119684; 117654,2010,0.0,2,Winter,Horror,1,1,3,0,0,0,10,18.8261458587272,Very high,-0.062,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,2.0,61629026.0,114977104.0,1.0,4945.0,4945
8952,I Love You Phillip Morris,2010-02-04,98.0,en,13000000.0,20768906.0,5.6477,6.407,1859,Comedy; Crime; Drama; Romance,FR; US,EuropaCorp; Mad Chance; Roadside Attractions; LD Entertainment,6896; 1757; 911; 8533,,,John Requa,Jim Carrey; Ewan McGregor; Leslie Mann; Rodrigo Santoro; Antoni Corone; Brennan Brown; Michael Mandell; Annie Golden; Marylouise Burke; David Jensen,206; 3061; 41087; 17289; 20562; 1218149; 3364878; 66094; 57823; 60875,2010,1.0,2,Winter,Comedy,4,2,4,0,0,0,10,16.380459992348886,Mid,0.5976081538461538,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,0.0,,,,56412.0,56412; 56411
8967,The Tree of Life,2011-05-17,139.0,en,32000000.0,54700000.0,11.7724,6.7,3405,Drama; Fantasy,US,River Road Entertainment,1246,,,Terrence Malick,Brad Pitt; Jessica Chastain; Hunter McCracken; Sean Penn; Fiona Shaw; Tye Sheridan; Laramie Eppler; Will Wallace; Nicolas Gonda; Jessica Fuselier,287; 83002; 1715121; 2228; 10981; 1034681; 1715124; 158231; 1089521; 3470789,2011,1.0,5,Spring,Drama,2,1,1,0,0,0,10,17.281246492014,High,0.709375,0.0,,,,,0.0,,,,,,,,0,2.0,123682401.0,321885765.0,0.8333333333333334,6.5615,2.0,14401382.0,25806953.0,0.5,30715.0,30715
9364,Wuthering Heights,2011-09-09,124.0,en,5692172.0,1742215.0,6.4764,5.9,288,Drama; Romance,GB,Ecosse Films; UK Film Council; Film4 Productions; Goldcrest; Screen Yorkshire; HanWay Films,1267; 2452; 6705; 500; 2690; 2395,,,Andrea Arnold,Kaya Scodelario; James Howson; Solomon Glave; Shannon Beer; Steve Evets; Oliver Milburn; Simone Jackson; Lee Shaw; James Northcote; Amy Wren,115150; 935050; 2598374; 1463866; 83814; 95023; 2598376; 1866091; 1362119; 1161369,2011,0.0,9,Fall,Drama,2,1,6,0,0,0,10,15.55460263126479,Low,-0.6939279066057736,0.0,,,,,0.0,,,,,,,,0,0.0,,,,,10.0,23828081.737777777,414211549.0,0.74375,71082.0,71082
9543,Prince of Persia: The Sands of Time,2010-05-19,116.0,en,200000000.0,336365676.0,10.0732,6.312,7306,Adventure; Fantasy; Action,US,Walt Disney Pictures; Jerry Bruckheimer Films,2; 130,,,Mike Newell,Jake Gyllenhaal; Gemma Arterton; Ben Kingsley; Alfred Molina; Steve Toussaint; Toby Kebbell; Richard Coyle; Ronald Pickup; Reece Ritchie; Gísli Örn Garðarsson,131; 59620; 2282; 658; 55412; 20286; 52890; 32556; 54810; 587354,2010,1.0,5,Spring,Adventure,3,1,2,0,0,0,10,19.11382792951231,Very high,0.68182838,0.0,,,,,0.0,,,,,,,,0,1.0,394009594.0,493214993.0,1.0,7.061999999999999,1.0,1025467110.0,1025467110.0,1.0,10723.0,10723
