tmdb_id,genre
189,Action
189,Crime
189,Thriller
1771,Action
1771,Adventure
1771,Science Fiction
1865,Adventure
1865,Action
1865,Fantasy
1930,Action
1930,Adventure
1930,Science Fiction
4258,Comedy
7978,Horror
8952,Comedy
8952,Crime
8952,Drama
8952,Romance
8967,Drama
8967,Fantasy
9364,Drama
9364,Romance
9543,Adventure
9543,Fantasy
9543,Action
10138,Adventure
10138,Action
10138,Science Fiction
10140,Adventure
10140,Family
10140,Fantasy
10191,Fantasy
10191,Adventure
10191,Animation
10191,Family
10192,Comedy
10192,Adventure
10192,Fantasy
10192,Animation
10192,Family
10193,Animation
10193,Family
10193,Comedy
10195,Adventure
10195,Fantasy
10195,Action
10196,Action
10196,Adventure
10196,Fantasy
10316,Drama
10317,Comedy
10317,Drama
10679,Action
10679,Comedy
10679,Science Fiction
11324,Drama
11324,Thriller
11324,Mystery
11439,Thriller
11439,Mystery
12155,Family
12155,Fantasy
12155,Adventure
12201,Crime
12201,Drama
12201,Mystery
12201,Thriller
12444,Adventure
12444,Fantasy
12445,Adventure
12445,Fantasy
12819,Animation
12819,Family
12819,Comedy
12819,Adventure
12819,Romance
13477,Comedy
13477,Fantasy
13477,Romance
14564,Horror
16290,Comedy
16290,Documentary
16290,Action
17578,Adventure
17578,Animation
17578,Mystery
18823,Adventure
18823,Fantasy
18823,Action
19901,Action
19901,Fantasy
19901,Science Fiction
20352,Animation
20352,Comedy
20352,Crime
20352,Science Fiction
20352,Family
20504,Action
20504,Thriller
20504,Science Fiction
20526,Adventure
20526,Action
20526,Science Fiction
20533,Western
20533,Fantasy
20533,Thriller
20662,Action
20662,Adventure
20662,History
20662,Drama
22538,Action
22538,Comedy
22538,Romance
22894,Action
22894,Fantasy
22894,Horror
22907,Action
22907,Crime
22907,Drama
22907,Thriller
22970,Horror
22970,Mystery
22970,Comedy
22971,Drama
22971,Romance
22971,War
22972,War
22972,Action
22972,Adventure
22972,Drama
22972,Thriller
23023,Comedy
23023,Family
23023,Fantasy
23047,Adventure
23047,Fantasy
23047,Action
23048,Science Fiction
23048,Comedy
23048,Adventure
23168,Crime
23168,Drama
23168,Thriller
23169,Drama
23169,Romance
23172,Action
23172,Comedy
23172,Family
23437,Horror
23437,Mystery
23437,Thriller
23483,Action
23483,Crime
23514,Comedy
23514,Drama
23629,Action
23629,Fantasy
23629,Thriller
23631,Action
23631,Comedy
23631,Thriller
23742,Action
23742,Comedy
23742,Crime
23759,Adventure
23759,Action
23759,Drama
23830,Drama
23830,Romance
24021,Adventure
24021,Fantasy
24021,Drama
24021,Romance
24428,Science Fiction
24428,Action
24428,Adventure
25195,Romance
25195,Comedy
