calibration,evaluation_population,mean_predicted,observed_rate
before,calibrator_fit,0.004519758467150546,0.0
before,calibrator_fit,0.005085070098174567,0.0
before,calibrator_fit,0.00570494727387543,0.022727272727272728
before,calibrator_fit,0.006313964879827361,0.0
before,calibrator_fit,0.00761711454731317,0.01744186046511628
before,calibrator_fit,0.011176128674296786,0.005813953488372093
before,calibrator_fit,0.04394691530024805,0.05813953488372093
before,calibrator_fit,0.5939369684328569,0.46511627906976744
after,calibrator_fit,0.02074446869204774,0.0
after,calibrator_fit,0.020806868787533395,0.0
after,calibrator_fit,0.02087549705267659,0.022727272727272728
after,calibrator_fit,0.02094315161357442,0.0
after,calibrator_fit,0.021088736316354575,0.01744186046511628
after,calibrator_fit,0.021491558226974537,0.005813953488372093
after,calibrator_fit,0.02591235217942394,0.05813953488372093
after,calibrator_fit,0.4059826349406228,0.46511627906976744
