feature,mae_increase_usd_mean,mae_increase_usd_std
budget_usd,29698262.17988764,1198247.549809206
is_franchise,17894144.934548996,1171702.76200096
production_company_previous_avg_revenue,10950659.300458545,690953.4332320844
production_company_previous_movie_count,1071041.8535164534,240483.97344821252
production_company_previous_success_rate,993149.3342375755,132914.8766161438
director_previous_max_revenue,605511.4484042942,281392.9641673303
cast_previous_avg_revenue,426177.7673173815,131168.62728442115
runtime_minutes,384879.615071781,177919.23123270294
cast_previous_max_revenue,368863.76878902613,67610.24285287652
original_language,345772.8691464767,207510.79704088936
director_previous_avg_revenue,313874.04939349147,244606.25819498775
cast_previous_success_rate,135197.45673122257,139796.18673092595
franchise_previous_avg_revenue,118420.82798689455,7312.738565246666
genre_count,117193.86973775625,185870.02040721817
primary_genre,85967.55873907656,27164.359754855133
country_count,81597.70977400243,22926.59278714051
release_season,77471.63638471812,38293.848035171315
franchise_previous_max_revenue,62354.34465024471,16905.669458472137
franchise_previous_median_revenue,46862.042422686514,16965.62565854238
director_previous_movie_count,19571.032901895047,44344.59295608423
is_holiday_release,14948.667046603561,7506.594466772235
is_summer_release,11558.212877371907,9947.039435151606
director_previous_success_rate,6893.674749873579,10673.030728821866
cast_size_top10,4312.813916954398,6981.987205069395
franchise_previous_success_rate,691.4812834784389,163.60499439747386
franchise_previous_latest_success,-1.4901161193847657e-09,1.3657139822709085e-08
release_year,-2.2351741790771484e-08,3.089970551927048e-08
release_month,-2385.2848869547247,60729.83419836111
franchise_previous_movie_count,-15680.205638197065,9004.832975843581
director_previous_avg_rating,-16397.143275678158,145650.45560545183
is_sequel,-21913.38898628205,12961.777631219828
cast_previous_avg_rating,-118600.1016089335,340958.33244264044
franchise_previous_last_revenue,-160289.05076160282,13277.618976022199
franchise_previous_avg_rating,-338853.19522758573,128364.67555465132
cast_previous_movie_count,-401319.6310396224,161897.99376396873
