calibration,evaluation_population,mean_predicted,observed_rate
before,calibrator_fit,0.15175268417551258,0.2803030303030303
before,calibrator_fit,0.2730669222017146,0.45038167938931295
before,calibrator_fit,0.3750826310600887,0.6259541984732825
before,calibrator_fit,0.5035142319463072,0.6335877862595419
before,calibrator_fit,0.6566377923676493,0.7251908396946565
before,calibrator_fit,0.7890127174406144,0.7251908396946565
before,calibrator_fit,0.9181625180336093,0.8625954198473282
before,calibrator_fit,0.9939519002106146,0.9541984732824428
after,calibrator_fit,0.36609385692409385,0.2803030303030303
after,calibrator_fit,0.4552546308254039,0.45038167938931295
after,calibrator_fit,0.5332015057621385,0.6259541984732825
after,calibrator_fit,0.6283215202233661,0.6335877862595419
after,calibrator_fit,0.7298578883810747,0.7251908396946565
after,calibrator_fit,0.8021173890078069,0.7251908396946565
after,calibrator_fit,0.857693721212657,0.8625954198473282
after,calibrator_fit,0.8841858844778284,0.9541984732824428
