director,movie_count,median_revenue_usd,median_roi,profitability_rate
Pierre Coffin,3,970766005.0,11.773236907894736,1.0
Peter Jackson,4,957209894.0,2.8336,0.75
Joe Russo,4,934906494.0,3.412347455529412,0.75
Jon Watts,5,880978185.0,5.056840609821428,0.6
Christopher Nolan,6,792818668.0,3.424527137636364,1.0
James Gunn,5,772776600.0,2.3822,0.6
J.J. Abrams,4,770762916.0,2.830951536842105,1.0
David Yates,6,732121166.0,2.545861736,1.0
Brad Bird,3,694713380.0,3.7911267586206896,1.0
Justin Lin,4,676164750.5,3.2802612525,1.0
Sam Mendes,4,663385974.5,3.027684202857143,0.75
Chris Renaud,4,652446050.0,6.54407056875,1.0
Bryan Singer,4,645990243.5,2.02399810505618,1.0
Christopher McQuarrie,4,626921035.5,3.0948887866666666,1.0
Jon Favreau,5,623933331.0,3.585517727272727,1.0
Matt Reeves,4,600682164.5,2.7243143757657657,1.0
Jennifer Yuh Nelson,3,521170825.0,2.594281551724138,1.0
Peyton Reed,3,519311965.0,2.9947074230769233,1.0
Ryan Coogler,4,516351077.0,4.720761153445946,1.0
Colin Trevorrow,4,504300648.5,2.7117943181542197,0.75
Francis Lawrence,6,495400089.0,2.7288229006250004,1.0
Joachim Rønning,3,491730089.0,1.6580004810810811,0.6666666666666666
Genndy Tartakovsky,3,473200000.0,4.915,1.0
Rob Marshall,4,459216689.5,1.7224644985792572,1.0
Alan Taylor,3,440603537.0,1.842603464516129,0.6666666666666666
Zack Snyder,6,426013493.5,1.1616560894444445,1.0
Louis Leterrier,4,422469491.0,2.0091977072941174,0.75
Jeff Fowler,3,405421518.0,2.761360976470588,1.0
Carlos Saldanha,4,389452640.0,2.750269846540715,0.75
Marc Webb,4,378617389.5,2.584673895,0.75
Bill Condon,6,373013957.0,3.9299476999999996,0.8333333333333334
Andy Muschietti,4,372228233.5,6.875389675105485,1.0
Brad Peyton,5,355692760.0,2.5669019416666665,1.0
Joseph Kosinski,4,348040732.0,1.3979952029411766,0.75
Raja Gosnell,3,347434178.0,4.124993845454545,1.0
Mike Mitchell,5,347337803.0,3.561217375757576,1.0
Michael Bay,6,346365353.0,2.141099821013825,1.0
Paul King,3,333960862.0,5.0720156727272725,1.0
Greta Gerwig,3,332103783.0,7.302594575,1.0
Chris Sanders,3,331982078.0,2.000859006060606,1.0
Phil Lord,3,331333876.0,5.62667752,1.0
Wes Ball,4,330307958.5,3.8857568828662084,1.0
Olivier Megaton,3,325800000.0,5.7875,1.0
James Mangold,6,322976413.0,1.2748818666981925,1.0
James Wan,8,322056956.5,7.023143674342105,0.875
Tom McGrath,3,321885765.0,1.4760443461538462,1.0
Gareth Edwards,4,314625249.0,3.28070056375,1.0
Jonathan Liebesman,3,301970083.0,2.025714285714286,1.0
Shawn Levy,7,299300000.0,1.769090909090909,1.0
Gary Ross,3,297718711.0,3.253124442857142,0.6666666666666666
John Krasinski,3,297372261.0,4.406768381818182,1.0
Tim Burton,7,296482446.0,1.6952949636363637,1.0
Todd Phillips,6,286900036.0,2.3865126721433905,1.0
Quentin Tarantino,4,274814904.0,2.8429997032296654,0.75
Jordan Peele,3,255407969.0,11.8035609,1.0
F. Gary Gray,3,253890701.0,3.944,1.0
Makoto Shinkai,4,253860805.0,23.230169692307697,0.75
Chad Stahelski,4,249944897.5,3.3887118,1.0
Tom Hooper,4,245743935.0,4.768166467213114,0.75
Gore Verbinski,3,245724603.0,0.2116377441860465,0.6666666666666666
