genre,movie_count,mae_usd,mean_signed_error_usd
Action,178,80979106.20177938,-45205519.41271435
Adventure,122,127281070.35835744,-77401293.4544719
Animation,76,112130998.70226419,-91274183.80795117
Comedy,188,71542781.68022737,-54480897.83150898
Crime,83,52915449.3360171,-26924708.639737036
Documentary,8,2108969.5680392566,-1929055.7639989322
Drama,257,35957238.16010946,-26336111.502180364
Family,65,125599067.50992937,-102413956.21195167
Fantasy,84,97282701.41765605,-64614500.139065444
History,47,47403827.93757996,-42259981.39450505
Horror,122,30111575.061131906,-26880061.787466377
Music,24,50350318.13338429,-35522250.788802415
Mystery,57,42131200.62702525,-28207513.70694047
Romance,66,46187676.538183756,-36061432.02734652
Science Fiction,83,113971489.16429359,-71865711.4847514
TV Movie,1,1578573.488156634,1578573.488156634
Thriller,159,35181218.6291988,-21477258.269257005
Unknown,2,55.083144367120994,55.083144367120994
War,16,27847056.210562795,-21513083.963424303
Western,3,8173194.271230996,8173194.271230997
