experiment,feature_count,train_end,validation_years,validation_MAE_usd,validation_RMSE_usd,validation_R2
without_production_company_previous_max_revenue,37,2019,2020-2021,39989862.3067,103193795.4210,0.5132
recommended_reduced_model,35,2019,2020-2021,40000020.7237,102729465.5042,0.5176
without_company_count,37,2019,2020-2021,40205075.7065,103482075.2670,0.5105
without_primary_genre,37,2019,2020-2021,40353177.4954,103446734.0329,0.5108
without_franchise_previous_movie_count,37,2019,2020-2021,40445662.3540,104390759.1504,0.5018
without_franchise_previous_avg_revenue,37,2019,2020-2021,40472315.9269,104305539.6675,0.5026
without_franchise_previous_last_revenue,37,2019,2020-2021,40574244.3664,104735482.7640,0.4985
without_franchise_previous_median_revenue,37,2019,2020-2021,40637342.6418,104727529.2407,0.4986
without_production_company_previous_avg_revenue,37,2019,2020-2021,40721115.9504,103626741.4122,0.5091
without_cast_previous_avg_revenue,37,2019,2020-2021,40772862.1805,104240737.6613,0.5033
without_release_season,37,2019,2020-2021,40778387.4888,105213092.9337,0.4940
without_release_month,37,2019,2020-2021,40812338.6478,104222505.7573,0.5034
without_original_language,37,2019,2020-2021,40832322.2242,105426910.4187,0.4919
without_franchise_previous_latest_success,37,2019,2020-2021,40913439.4669,104277371.6156,0.5029
without_director_previous_success_rate,37,2019,2020-2021,40933672.6514,105576052.3570,0.4905
without_is_summer_release,37,2019,2020-2021,41123691.3582,105024479.0351,0.4958
without_cast_previous_success_rate,37,2019,2020-2021,41146253.3700,105076056.2502,0.4953
without_cast_size_top10,37,2019,2020-2021,41177926.2706,106310948.5986,0.4833
without_country_count,37,2019,2020-2021,41225172.0186,106872680.1169,0.4779
without_is_sequel,37,2019,2020-2021,41227640.2136,105978603.6405,0.4866
without_production_company_previous_success_rate,37,2019,2020-2021,41230463.3337,104934303.0451,0.4966
without_franchise_previous_success_rate,37,2019,2020-2021,41251084.5390,105137081.9869,0.4947
without_director_previous_max_revenue,37,2019,2020-2021,41266705.1296,106600478.1237,0.4805
