experiment,feature_count,validation_MAE_usd,validation_RMSE_usd,validation_R2
basic_features_only,13,58135110.0399,137598716.7477,0.5527
budget_and_history,14,60287353.3176,144513865.9877,0.5068
full_model,38,55733139.7123,133737394.1019,0.5939
recommended_reduced_model,35,55215123.6688,133195934.1296,0.6025
without_budget_usd,37,55410116.9138,133344317.4706,0.5954
without_cast_history,33,56407745.8400,135883234.4181,0.5756
without_cast_previous_avg_rating,37,56263797.4126,136048871.8280,0.5771
without_cast_previous_avg_revenue,37,55301768.9732,132294673.7528,0.6041
without_cast_previous_max_revenue,37,55999329.5264,134377078.0959,0.5909
without_cast_previous_movie_count,37,55763001.0412,134148109.9193,0.5912
without_cast_previous_success_rate,37,55805525.3984,133463070.9431,0.5973
without_cast_size_top10,37,55900987.2670,134042456.6881,0.5928
without_company_count,37,55398094.7286,132846565.9045,0.6030
without_company_history,34,57521186.2481,136423777.5363,0.5810
without_country_count,37,55836214.4688,133732062.8492,0.5935
without_director_history,33,55251689.2137,132568312.2383,0.5987
without_director_previous_avg_rating,37,56073490.2787,133894675.6697,0.5910
without_director_previous_avg_revenue,37,55487870.7982,133195589.4446,0.5977
without_director_previous_max_revenue,37,55641805.4105,133965609.2847,0.5927
without_director_previous_movie_count,37,55700332.4882,132867624.7999,0.5998
without_director_previous_success_rate,37,55693210.5185,133726921.2985,0.5954
without_franchise_history,30,55974331.8540,134607002.7105,0.5862
without_franchise_previous_avg_rating,37,56094324.5434,134083235.6569,0.5903
without_franchise_previous_avg_revenue,37,55487845.3717,133148410.4267,0.6005
without_franchise_previous_last_revenue,37,55515367.0864,133258712.8907,0.5994
without_franchise_previous_latest_success,37,55793168.2478,133427627.0735,0.5991
without_franchise_previous_max_revenue,37,55684558.2928,133794099.7655,0.5945
without_franchise_previous_median_revenue,37,55493979.4210,133315641.6733,0.5990
without_franchise_previous_movie_count,37,55434752.4950,133084966.4709,0.6007
without_franchise_previous_success_rate,37,55725123.3505,133369646.5516,0.5979
without_genre_count,37,55992106.7796,134226303.8913,0.5888
without_is_franchise,37,60877479.1545,144378594.2608,0.4962
without_is_holiday_release,37,56108942.2622,133964117.1092,0.5917
without_is_sequel,37,55884084.6558,133839840.1028,0.5942
without_is_summer_release,37,55798094.0403,133683868.6968,0.5967
without_log_budget_usd,37,55360281.4617,133178656.4769,0.5967
without_original_language,37,55712705.3353,133947526.4149,0.5945
without_primary_genre,37,55702915.5048,133341101.3096,0.6005
without_production_company_previous_avg_revenue,37,56192030.4718,134181619.8752,0.5965
without_production_company_previous_max_revenue,37,55413511.3284,133432469.3378,0.6007
without_production_company_previous_movie_count,37,55986318.4681,133511049.1583,0.5923
without_production_company_previous_success_rate,37,55994961.1092,133345671.3163,0.5982
without_release_month,37,55784383.1282,133426477.3510,0.5990
without_release_season,37,55719115.4340,133819970.3132,0.5960
without_release_year,37,55820680.7409,133421308.3254,0.5962
without_runtime_minutes,37,55848258.5034,133464894.5021,0.5942
