split,train_end_year,validation_years,test_start_year,period,model,train_rows,validation_rows,test_rows,MAE_usd,RMSE_usd,R2
early,2015,2016-2017,2018,validation,full_model,1304,415,1097,71222763.4669,143769767.4984,0.6391
early,2015,2016-2017,2018,test,full_model,1304,415,1097,76128252.3605,168150093.0926,0.5802
early,2015,2016-2017,2018,validation,reduced_model,1304,415,1097,71015850.1934,143455352.0671,0.6407
early,2015,2016-2017,2018,test,reduced_model,1304,415,1097,75102058.6333,167400488.2590,0.5839
middle,2017,2018-2019,2020,validation,full_model,1719,392,705,78401092.3506,177968405.1493,0.6517
middle,2017,2018-2019,2020,test,full_model,1719,392,705,75914234.0362,163499263.4554,0.5012
middle,2017,2018-2019,2020,validation,reduced_model,1719,392,705,77476127.0872,179665223.2776,0.6450
middle,2017,2018-2019,2020,test,reduced_model,1719,392,705,74215019.0899,161243863.6874,0.5149
recent,2019,2020-2021,2022,validation,full_model,2111,242,463,64130644.9729,135815165.5422,0.4202
recent,2019,2020-2021,2022,test,full_model,2111,242,463,77350228.2137,170395257.3015,0.5469
recent,2019,2020-2021,2022,validation,reduced_model,2111,242,463,61796158.9014,131749798.9633,0.4544
recent,2019,2020-2021,2022,test,reduced_model,2111,242,463,74811793.6807,167839153.7424,0.5604
