tmdb_id,title,release_year,genres,budget_usd,worldwide_revenue_usd,predicted_revenue_usd,prediction_lower_usd,prediction_upper_usd,absolute_error_usd,blockbuster_probability,blockbuster_actual,blockbuster_predicted,signed_error_usd,revenue_band
609681,The Marvels,2023,Science Fiction; Adventure; Action,274800000.0,206136825.0,762518020.048707,609560224.1717864,915475815.9256276,556381195.048707,0.7272592868488393,0,1,556381195.048707,Regular (<$250M)
889737,Joker: Folie à Deux,2024,Drama; Crime; Thriller,190000000.0,207500287.0,672240980.9931921,519283185.1162715,825198776.8701127,464740693.9931921,0.7067169201720538,0,1,464740693.9931921,Regular (<$250M)
505642,Black Panther: Wakanda Forever,2022,Action; Adventure; Science Fiction,250000000.0,859102154.0,1243116932.9325907,1090159137.0556705,1396074728.8095112,384014778.9325907,0.7916901787598424,1,1,384014778.9325907,Blockbuster (>$400M)
335977,Indiana Jones and the Dial of Destiny,2023,Adventure; Action,294700000.0,383963057.0,708405030.5748087,555447234.6978881,861362826.4517293,324441973.5748087,0.687239546491859,0,1,324441973.5748087,High Grossing ($250M-$400M)
585083,Hotel Transylvania: Transformania,2022,Animation; Comedy; Family; Adventure; Fantasy,75000000.0,18500000.0,259196441.6256718,106238645.74875124,412154237.5025923,240696441.6256718,0.0913893296053607,0,1,240696441.6256718,Regular (<$250M)
640146,Ant-Man and the Wasp: Quantumania,2023,Action; Adventure; Science Fiction,200000000.0,476071180.0,690287603.1184071,537329807.2414865,843245398.9953277,214216423.11840713,0.7193199914875849,1,1,214216423.11840713,Blockbuster (>$400M)
594767,Shazam! Fury of the Gods,2023,Comedy; Action; Fantasy,110000000.0,134221819.0,345206573.0698881,192248777.19296756,498164368.9468087,210984754.06988811,0.0892699872135079,0,1,210984754.06988811,Regular (<$250M)
338953,Fantastic Beasts: The Secrets of Dumbledore,2022,Fantasy; Adventure,200000000.0,407200000.0,609757432.0571774,456799636.1802568,762715227.934098,202557432.05717745,0.6380364913212222,1,1,202557432.05717742,Blockbuster (>$400M)
629176,Samaritan,2022,Science Fiction; Crime; Action,100000000.0,75000000.0,267296091.1521708,114338295.27525026,420253887.02909136,192296091.1521708,0.0380136735317454,0,0,192296091.1521708,Regular (<$250M)
786892,Furiosa: A Mad Max Saga,2024,Action; Science Fiction; Adventure,168000000.0,174287546.0,348063916.9996447,195106121.12272415,501021712.8765652,173776370.9996447,0.4990771488015424,0,1,173776370.9996447,Regular (<$250M)
