model,split,train_end_year,evaluation_years,train_rows,evaluation_rows,MAE,RMSE,R2
ridge_current,rolling_validation,2015,2016-2017,1613,515,153203457.01675415,500805718.3032322,-4.108350104176135
ridge_current,rolling_validation,2017,2018-2019,2128,488,142534443.67743292,448225874.7552711,-1.635861186175822
ridge_current,rolling_validation,2019,2020-2021,2616,373,104814271.65440974,471299569.846455,-9.15410223149202
ridge_current,evaluation_not_used_for_selection,2021,2022-2024,2989,618,133474919.4885481,507974105.1739475,-4.098125768795521
random_forest_current,rolling_validation,2015,2016-2017,1613,515,59033471.56137536,128811941.76860718,0.662048521992916
random_forest_current,rolling_validation,2017,2018-2019,2128,488,66241042.321103364,165950612.36876205,0.6386846546774778
random_forest_current,rolling_validation,2019,2020-2021,2616,373,39769736.119605504,101409980.60661219,0.5298798737264585
random_forest_current,evaluation_not_used_for_selection,2021,2022-2024,2989,618,57521066.469659455,155983078.66058883,0.5192908675680568
gradient_boosting_current,rolling_validation,2015,2016-2017,1613,515,63549517.287317574,138498523.81577545,0.6093099192032942
gradient_boosting_current,rolling_validation,2017,2018-2019,2128,488,68375513.24187404,181628264.93329006,0.5671917240545068
gradient_boosting_current,rolling_validation,2019,2020-2021,2616,373,39249516.8883981,104878035.72670645,0.4971753795959988
gradient_boosting_current,evaluation_not_used_for_selection,2021,2022-2024,2989,618,62740366.85893252,177116739.63804367,0.3802070735079438
hist_gradient_boosting,rolling_validation,2015,2016-2017,1613,515,61162535.82455539,132360304.60396414,0.6431730794570825
hist_gradient_boosting,rolling_validation,2017,2018-2019,2128,488,65544240.71405685,166137716.99968457,0.6378694496711048
hist_gradient_boosting,rolling_validation,2019,2020-2021,2616,373,41549907.53917168,103568431.23934676,0.5096544472106088
hist_gradient_boosting,evaluation_not_used_for_selection,2021,2022-2024,2989,618,61593100.612653285,169788684.9854547,0.4304329110872942
catboost_native_categories,rolling_validation,2015,2016-2017,1613,515,62585600.09069094,139223903.069538,0.605206761793686
catboost_native_categories,rolling_validation,2017,2018-2019,2128,488,66627736.64846049,167635515.05957916,0.6313105127226535
catboost_native_categories,rolling_validation,2019,2020-2021,2616,373,38752932.51269226,104032957.21661341,0.5052459790933047
catboost_native_categories,evaluation_not_used_for_selection,2021,2022-2024,2989,618,61749461.14367105,175464476.0974283,0.3917168234358067
lightgbm,rolling_validation,2015,2016-2017,1613,515,60477292.57411416,132080327.28297646,0.644681050965035
lightgbm,rolling_validation,2017,2018-2019,2128,488,65532783.19297517,165196522.96436197,0.6419608706942379
lightgbm,rolling_validation,2019,2020-2021,2616,373,40741495.838072106,100415275.7759621,0.5390572213982583
lightgbm,evaluation_not_used_for_selection,2021,2022-2024,2989,618,62562044.64180357,171998010.98001418,0.41551382041408425
xgboost,rolling_validation,2015,2016-2017,1613,515,63716276.05389819,138229205.8131382,0.6108278786211683
xgboost,rolling_validation,2017,2018-2019,2128,488,66414925.7465997,175379797.52512968,0.5964588597451892
xgboost,rolling_validation,2019,2020-2021,2616,373,40591162.76237425,106470369.35814445,0.48179098227724937
xgboost,evaluation_not_used_for_selection,2021,2022-2024,2989,618,62410633.72515574,174314857.50820962,0.3996614835281187
